segment_id	text	annotator_1	annotator_2	agreed_rating
50	"""Do you mean piracy?"" asked the Reverend Pettibones; and Captain Obadiah nodded his head.
""'Tis a lie!"" cried Colonel Belford, smacking his hand upon the table. ""He never possessed spirit enough for anything so dangerous as piracy or more mischievous than slave-trading."""	2	0	2
51	But most potent in his education was the cuff of the master’s hand, the censure of the master’s voice. Because of White Fang’s very great love, a cuff from the master hurt him far more than any beating Grey Beaver or Beauty Smith had ever given him.	1	3	1
52	The months came and went. The drama and tragedy of the future were yet to come upon the stage, and in the meantime we pounded nuts and lived. It was a good year, I remember, for nuts. We used to fill gourds with nuts and carry them to the pounding-places. We placed them in depressions in the rock, and, with a piece of rock in our hands, we cracked them and ate them as we cracked.	3	3	3
53	"A rather small, slight man of about forty, with tiny feet and hands, and ""very quick on his pins,"" saluted the three parsons gravely.
""Mr Smith!"" one parson stiffly inclined."	3	3	3
54	"""Forgive me, Antony,"" she said. ""I loved you all the time.""
What else need Silencieux say!
""But it was so strange,"" said Antony after a while, ""so strange. I could have borne the pain, if only I could have understood."""	0	0	0
55	He spoke, too, when he returned Good’s enthusiastic greeting, with a curious little accent, which made his speech noticeable.	0	0	0
56	"“Bland kept you pretty long,” he said.


“Wait till I git my breath,” replied Euchre. He sat silent a little while, fanning himself with a sombrero, though the night was cool, and then he went into the cabin to return presently with a lighted pipe."	3	1	3
57	"“Sit down!”


Mr. Horser sat down, whereupon Mr. Sabin followed suit.


“Now what have you to say to me?” Mr. Sabin asked quietly.


“I want that report,” was the dogged answer."	1	0	1
58	The German, the two Americans, and myself bought up all the Scotch whiskey, and proceeded to stay drunk. The theory was beautiful—namely, if we kept ourselves soaked in alcohol, every smallpox germ that came into contact with us would immediately be scorched to a cinder. And the theory worked, though I must confess that neither Captain Oudouse nor Ah Choon were attacked by the disease either. The Frenchman did not drink at all, while Ah Choon restricted himself to one drink daily.	1	3	3
59	The wonderful wheat-field was cut into a thousand squares and angles and lanes and curves. The big whirring combines passed one another, stopped and waited and turned out of the way, leaving everywhere little patches and cubes of standing wheat, that soon fell before the onslaught of the smaller combines.	4	4	4
60	I should have preferred to leave Archie’s letter lying in my desk and know my neighbor only by his tread above me. I felt that perhaps I had been presumptuous in coming to live in the same house with him. But I had represented myself to Walters as an acquaintance of the captain’s and the caretaker had lost no time in telling me that “my friend” was safely home.	1	3	1
61	"By this time the fresh new fool's cap made from yesterday's ""Bee"" would have been pinned on her head.
""Quelle injustice! Quelle injustice!""
This last apostrophe in a high, whining nasal voice, always procured Pupasse's elevation on the tall three-legged stool in the corner."	1	1	1
62	"Rivera shrugged his shoulders.


“Haven't you got anything to say?” the fight promoter snarled.


“I can lick him.”


“Who'd you ever fight, anyway!” Michael Kelly demanded. Michael was the promotor's brother, and ran the Yellowstone pool rooms where he made goodly sums on the fight game."	0	0	0
63	"“Yes, master,” he answered, his eyes luminous and soft with joy.


“There you go!” I cried indignantly.


“What does it matter what my lips utter?” he argued. “They are only my lips. But I shall think Otoo always. Whenever I think of myself, I shall think of you. Whenever men call me by name, I shall think of you. And beyond the sky and beyond the stars, always and forever, you shall be Otoo to me. Is it well, master?”"	0	0	0
64	So he went up the wood, whistling softly to himself—but lo! when he opened his châlet door, there was a strange light in the room. The eyes of Silencieux were wide open, and from her lips hung a dark moth with the face of death between his wings.	4	4	4
65	And yet, I have seen you always in my night, just as I see you now. As I hold your dear hands, I have held them—day by day and year by year—and I have smoothed that black hair of yours that I love, and kissed those dark eyes of yours many and many a thousand times.	2	1	2
66	Mr. Sidney Johnson, the senior clerk, met us at the office and received us with that respect which my companion's card always commanded.  He was a thin, gruff, bespectacled man of middle age, his cheeks haggard, and his hands twitching from the nervous strain to which he had been subjected.	3	4	4
67	Bostil enjoyed this hugely until he caught the strange intensity of regard in the cavernous eyes of Cordts. That gave him a shock. Cordts had long wanted this girl as much probably as he wanted Sage King.	1	0	1
68	"“Take me on your big shoulders, Glashan,” said the King of Ireland’s Son, “and carry me across to the shore of the Land of Mist.”


“Not carrying any more across,” said the Glashan. The King of Ireland’s Son drew the Sword of Light and flashed it."	3	1	3
69	They had little parties at the cottages and picnics under the cedars. He rode up and down the valley with Ruth, who could ride a horse as no other girl he had ever seen. He climbed with Hester. He walked with Joan. Mostly he contrived to include several at once in the little excursions, though it was not rare for him to be out alone with one.	3	4	3
70	"All that day the strange guest at the Matthews place was the one topic of conversation between the two girls.
“Shucks,” said Mandy, when Sammy had finished a very minute description of Mr. Howitt; “he’s jest some revenue, like’s not.”"	0	0	0
71	DURING the ensuing weeks the letters grew fewer and fewer, and Betton foresaw the approach of the fatal day when his secretary, in common decency, would have to say: “I can’t draw my pay for doing nothing.”	0	0	0
72	"THE CLUB OF QUEER TRADES


by G. K. Chesterton"	0	0	0
73	"Gloomy were the thoughts that filled the mind of Tara of Helium as she awaited the summons from Luud—the summons that could mean for her but one thing; death. She guessed why he had sent for her and she knew that she must find the means for self-destruction before the night was over; but still she clung to hope and to life. She would not give up until there was no other way. She startled Ghek once by exclaiming aloud, almost fiercely: ""I still live!"""	0	0	0
74	It was at this stage in my reasoning that I began to see the light. And quickly the light burst upon me with dazzling brightness, illuminating and explaining all that had been weird and uncanny and unnaturally impossible in my dream experiences.	1	0	1
75	Very much to their surprise, it was Sir Timothy himself who entered. He was in evening dress and wearing several orders, one of which Francis noted with surprise.	2	4	2
76	A few nights later, as they sat by their fire in the cabin, a curious squeaking was heard behind the logs. They had often heard it before, but never so much as now. Skookum turned his head on one side, set his ears at forward cock. Presently, from a hole 'twixt logs and chimney, there appeared a small, white breasted mouse.	4	4	4
77	It was a deep cut in red earth, worn straight down by swift water in the rainy seasons. It narrowed. In some places it was only five feet wide. Link studied these points and looked up the slope, and seemed to be making deductions.	4	4	4
78	Then they had to go into the back rooms occupied by Billina's nine Dorothys and two Daniels, who were all plump yellow chickens and greeted the visitors very politely.  It was easy to see that they were well bred and that Billina had looked after their education.	3	4	3
79	"This time his teeth flashed quicker and with deeper intent at the
jowl-clutching hand, and, missing, he was seized and flung down the
smooth incline harder and farther than before.  He was growing"	3	3	3
80	"""Mrs. Baxter doesn't know what I've come about,"" said the girl. ""You won't give her a hint, will you, father?""
He nodded reassuringly to her, absorbed in the letter, and presently handed it back, with a large smile."	3	0	2
81	(1.) He had been Mr. Manderson’s private secretary, upon a footing of great intimacy, for nearly four years.	0	0	0
82	"""I think,"" said Tarzan to Numa, ""that you and I together can make these beasts very unhappy."" He spoke in English, which, of course, Numa did not understand at all, but there must have been something reassuring in the tone, for Numa whined pleadingly and moved impatiently to and fro parallel with their antagonists."	2	1	2
83	Welton, despite his weight, tramped along cheerfully in the apparently careless indifference of the skilled woods walker. Bob followed, but he used more energy. He was infinitely the older man's superior in muscle and endurance, yet he realized, with respect and admiration, that in a long or difficult day's tramp through the woods Welton would probably hold him, step for step.	3	3	3
84	“The world knows what that is,” said the messenger courteously. “And now,” she continued, “I have messages for your queen.”	0	0	0
85	"“Precisely.”


“And now there’s this affair of the letter to me at the hotel. I suppose that fits into its place.”


“It seems to show that someone knows more than we do about what goes on upon the moor,” said Dr. Mortimer."	2	1	2
86	“So-ho!” he exclaimed, sneeringly. “That's why you've made me foreman, eh?” His claw-like hand moved almost imperceptibly upward while his pale eyes strove to pierce the strength behind Holderness's effrontery. The rustler chief had a trump card to play; one that showed in his sardonic smile.	2	2	2
87	"After various questions on other matters, Mr. Philips asked:
“In the month of June last, do you remember a parcel arriving for Mr. Lawrence Cavendish from Parkson’s?”"	1	1	1
88	‘But how did you go? You haven’t told us,’ said Una.	0	0	0
89	"“Who are you talking about?” the Philosopher demanded.
“It’s mighty innocent you are,” he replied. “Who would I be talking about but the man and woman that used to be living with you beyond in the little house? Is it poison you gave them now, or what was it? Take a hold of your note-book, Shawn.”"	1	0	1
90	"""Now, Miss Oliver dear, do not take that view of it,"" deprecated Susan. ""We have not had much to rejoice over of late and yet men were being killed just the same."	0	0	0
91	"Is that why you rail at me so, Peggy? That is a joke. You ought to laugh at my jokes, because I love you, but I can't ever, ever tell you so because you are rich. A rich man cannot pass through a needle's eye. Oh, Peggy, Peggy, I love your eyes, but they're so big, Peggy!"""	1		
92	Before her led a broad hallway in the center of which was a little pool of clear water. Here again in floor and walls was repeated in new and ever-changing combinations and designs, the parrots, the monkeys, and the lions, but now many of the figures were of what the girl was convinced must be gold.	4	3	4
93	"And Bill did it most effectually. He straightened, and then got up. ""Some of you fools get some sense, will you?"" he called. ""Buck ain't dead; he's just knocked out!"""	1	0	0
94	This he was able to operate at irregular intervals: sometimes for only half an hour or so, sometimes for three or four hours at a stretch. At these times he transmitted his earthward message, regardless of the fact that the relative position of the moon and points upon the earth’s surface is constantly altering.	1		
95	Master Oliver was happy now, with her so close to him! It was not jealousy that Lennan felt. Not quite—one did not feel jealous of the young; something very deep—pride, sense of proportion, who knew what—prevented that. She, too, looked happy, as if her soul were dancing, vibrating with the music and the scent of the flowers. He waited for her to come round once more, to get for a last time that flying glance turned back; then found his coat and hat and went.	1		
96	Of course it’s sad, even if it is all his own fault, as everybody says, but he looked so ridiculous as he was going down the steps that I couldn’t help laughing.” Mr. Vaughan heard the ringing, youthful laughter as he crossed the lawn.	2	3	3
97	"""Not a line!"" she said fiercely, with her extremely clear articulation. She had no right to make such a statement, for she had not read the twentieth part of Victor Hugo's work; she did not even know what book they were discussing--Charlie held the volume lightly in his hand--but she was incensed against the mere levity of Charlie's tone."	2	2	2
98	I shall take him back to England with me, but I can't leave for a week or so. If you can keep him till then and have some one to watch him day and night, I'll give your husband a hundred pounds for your work here, and build you a church. It's all right! Don't look as though I were mad. I'm a very rich man, that's all, and I shan't miss the money, but I want to feel that Monty is safe till I can start back to England. Will you undertake this?”	2	2	2
99	For a few minutes longer, I waited there, listening; but, after the first general outcry, I heard nothing. I knew, now, that there was no more reason to fear an attack from this quarter. I had removed the only means of reaching the window, and, as none of the other windows had any adjacent water pipes, to tempt the climbing powers of the monsters, I began to feel more confident of escaping their clutches.	2	0	2
100	“Shore Milt never knowed what it was to be lonesome,” said Roy, as if thinking aloud. “But he'll know now.”	0	0	0
101	"“But everything’s all right now,” said Bunting eagerly, “all right, thanks to Mr. Sleuth, that is.”
“Yes,” repeated his wife, in a low, strange tone of voice. “Yes, we’re all right now, and as you say, Bunting, it’s all along of Mr. Sleuth.”"	0	0	0
102	Small birds in that quaint atmospheric haze looked like condors, butterflies like giant fowl, and the simplest objects of the forest like the imaginations of a disordered dream.  Behind that gauzy hallucination a fine white mist came up, and the sun spread out flat and red in the sky, while the pent-in heat became almost unendurable.	5	4	5
103	"""I do not now apprehend any such danger,"" said Challenger.
The pressman looked even more perplexed.
""You are Professor Challenger, are you not?"" he asked."	1	1	1
104	This man, who had come so unexpectedly out of the mists the night before, was unlike anyone the young woman had ever known. Like Jed Holland, she felt somehow as if he were a superior being. The Matthews family were different in many ways from those born and raised in the hills. And Sammy’s father, too, was different. But this stranger—it was quite as though he belonged to another world.	3	2	3
105	“Well,” said I, “it is a grim thought, at all events, that this house, once a cheerful home, no doubt, should have fallen at last to be the dwelling of such a vile creature.”	1	2	1
106	"“There is only one thing to be done,” said Flambeau, “whether it belongs to this world or the other. I must go down and talk to my friend.”


They descended, passing the man with the pail, who again asseverated that he had let no intruder pass, down to the commissionaire and the hovering chestnut man, who rigidly reasserted their own watchfulness. But when Angus looked round for his fourth confirmation he could not see it, and called out with some nervousness, “Where is the policeman?”"	3	4	3
107	She was glad also of a respite which would enable her to settle into her home and draw about her the composure which women feel when they are surrounded by the walls of their houses, and can see about them the possessions which, by the fact of ownership, have become almost a part of their personality.	1	0	1
108	"""We agreed to work on our own lines, Mr. Holmes.  That's what I am doing.""
""Oh, very good,"" said Holmes.  ""Don't blame me.""
""No, sir; I believe you mean well by me.  But we all have our own systems, Mr. Holmes.  You have yours, and maybe I have mine."""	0	0	0
109	"“D—d scamp!” Laverick muttered.
“I did everything I could,” Bellamy continued. “I fetched her at once and sent her back to her house with a hospital nurse and some one to look after her. The wound wasn’t serious, but the fellow must have been a brute indeed to have lifted his hand against such a child. I wonder whether he’ll get away.”"	3	3	3
110	Then I got a big pebble from the river, and came and hammered till I had flattened a coil in the decorations, and the verdigris came off in powdery flakes.	3	4	3
111	One gratified candidate, indeed, had compared his triumphal passage through the many grades of the competition to the luxurious ease of being carried in a sedan-chair, and from that time Tsin Lung was jestingly referred to as a “sedan-chair.”	3	0	2
112	It was at this point that Chang Tao was approached by one who had noted his coming from afar, and had awaited him, for passers-by were sparse and remote.	0	0	0
113	And I went along, Skookum Jim and Cultus Charlie, too.  And we all staked on Gold Bottom. I come back by Bonanza on the chance of finding a moose.  Along down Bonanza we stopped and cooked grub.	2	3	2
114	Put to a test, Carley rapidly went over in mind her circle of friends, with the result that she was somewhat shocked and amazed to realize how few of them were even married, and how the babies of her acquaintance were limited to three. It was not easy to admit this to Glenn.	1	0	1
115	"The King sighed.  Then he stood up and announced to the company:
""We will now hold a military drill by my picked Bodyguard of Royal Pikemen.""
Now the band played a march and a company of rabbit soldiers came in. They wore green and gold uniforms and marched very stiffly but in perfect time.  Their spears, or pikes, had slender shafts of polished silver with golden heads, and during the drill they handled these weapons with wonderful dexterity."	4	3	4
116	“I am John Shefford,” he replied, swiftly. “I am a friend of Bern Venters—of his wife Bess. I learned your story. I came west. I've searched a year. I found Fay. And we've come to take you away.”	0	0	0
117	"“Why not a blood transfusion?” I asked eagerly, as an idea came to me. “I'm in perfect condition. What about it? Go to it, doc!”


He slowly shook his head. And beyond a single searching glance into my eyes, wherein he must have read something more than I had said, he regretfully replied:"	1	0	1
118	"of two knots an hour.”
“Hear! hear!” ejaculated Cæsar.
“That is my reason, your Majesty, for inquiring as to
the speed of your late club-house,” said the stranger,"	2	2	2
119	“Don't form any ideas of distance and size yet a while,” said Naab, reading Hare's expression. “They'd only have to be made over as soon as you learn what light and air are in this country.	0	0	0
120	"right way to show beeves. Here, Morg, listen to me; I'm foreman for the
time being. When you relieve the other lads, edge in your cattle from an
ordinary loose herd until you have them on two or three hundred acres.
Then we can slowly drive through them for an hour or so, or until these
gentlemen are satisfied. They're not wild, are they, Mac?"""	3	1	1
121	We found them in your quarters in the cave city, ready packed, but what they contain we neither know nor care. Full or empty, take them, they are yours. Those,” and he pointed to two other beasts, “are laden with your pay, which the Child of Kings sends to you, requesting that you will not count it till you reach Egypt or your own land, since she wishes no quarrelling with you as to the amount. The rest carry food for you to eat; also, there are two spare beasts. Now, mount and begone.”	3	4	4
122	How lonely I was!  What a fool I had been to ask for long leave and come ashore like this, to curry favour with a set of stubborn dunderheads who cared nothing for me—or Polly, and could not or would not understand how important it was to the best interests of the Service that I should get that promotion which alone would send me back to her an eligible wooer!	0	0	0
123	"""Then maybe,"" cried Talbot hopefully, ""he won't make a row, and my family won't hear of it!""
He drew a quick breath of relief. As though a burden had been lifted, his shoulders straightened."	1	2	1
124	Sir Guy had hurled himself on Burgundy, and with a picked band made havoc of the eastern roads, but he could not break the iron cordon of Normandy. In February they had been wed, but after that Beaumanoir saw him little, for he was reading Burgundy a lesson in the Santerre.	0	2	0
125	But, by skilful use of the directing tube, the professor was able to keep the boat from turning over. As they came further down toward the earth the force of the wind was felt less and less, until, as they came within two hundred feet of the water which they saw below them in the gathering dusk, it died out altogether.	3	4	4
126	"""But you were playing a part,"" retorted Mrs. Lascelles. ""You don't deny it. Are you proud of it, that you rub it in? Or are you going to begin denying it now?"""	0	0	0
127	"So he looked through the deep-blue luminous window once more, beyond the battles we know. From this he turned back shuddering.
Again he saw the Professor smile with his lips, though whether at his own weakness, or whether with cynical mirth at the fate of the world, Rodriguez could not say."	2	2	2
128	The bay was shrouded in the greys of coming rain, yet the thinness of the cloud threw a silvery light on the sea, and an unusual depth of blue to the mountains of Connemara.	4	4	4
129	And so Lop-Ear and I had chased Saber-Tooth across three miles of forest. Toward the last he put his tail between his legs and fled from our gibing like a beaten cur. We did our best to keep up with him; but when we reached the edge of the forest he was no more than a streak in the distance.	3	2	3
130	The cattle were pointed up the new trail to the southern divide. Joel took the herd, and Dell searched the creek for other shallows tributary to the corral.	3	4	3
131	"""Ah, yes, you start to-morrow,"" said Montresor, rising. ""Well, good luck to you--good luck to you.""
General Fergus, too, advanced. The whole room, indeed, awoke to the situation, and all the remaining guests grouped themselves round the young soldier. Even the Duchess was thawed a little by this actual moment of departure. After all, the man was going on his country's service."	3	3	3
132	"town and the harbour.
The splendid immobility of the bay resting under his gaze,
with its grey spurs and shining indentations, helped Renouard to
regain his self-possession, which he had felt shaken, in coming"	2	3	2
133	As we neared the inland sea we saw more flying reptiles and several great amphibians, but none of them attacked us.  As we were topping a rise in the middle of the afternoon, I saw something that brought me to a sudden stop.	3	4	3
134	“Or that each requirement is subtly shaped to meet his preparation,” retorted Ming-shu darkly. “Be that as it shall perchance ultimately appear, it is undeniable that your admitted weaknesses—”	0	0	0
135	"Marcia stared at him in wonder.
""Me—1881? Why sure! I was second-line stuff when the Florodora Sextette was still in the convent. I was the original nurse to Mrs. Sol Smith's Juliette. Why, Omar, I was a canteen singer during the War of 1812."""	2	0	2
136	Myself, Taurus and Bernibus went to the shores of Lake Umquam Renatusum, as is our custom, to watch for the coming of the promised one, and this time we were not disappointed, for he came to us, even as the prophecy says, as we sat hidden in the living tower.	3	3	3
137	“What came you forth to seek?” she asked. “You are not like the stout American Blenkiron, a lover of shoddy power and a devotee of a feeble science. There is something more than that in your face. You are on our side, but you are not of the Germans with their hankerings for a rococo Empire. You come from America, the land of pious follies, where men worship gold and words. I ask, what came you forth to seek?”	2	1	1
138	"Miki heard the man-beast's voice.
""Go to, you devil! GO TO!"""	1	0	0
139	You remember that Greaser who was plugged last October—the night Miss Majesty arrived? Wal, he's daid. He's daid, an' people says thet Pat is a-goin' to lay thet killin' onto Gene.	0	0	0
140	It was in the middle of his week's engagement--once more in summer time. He lunched, saw to Prépimpin's meal, smoked the cheap cigar of content, and then, crossing the noisy little flagged square, went through the gates, Prépimpin at his heels, and made his way across the dusty road to the bridge. The work-a-day folk, on that week-day afternoon, had all returned to their hives in the town, and the pathways of the bridge contained but few pedestrians.	4	4	4
141	"It was an old house fronting direct on the street, with a fanlight above the door and a neat brass plate bearing the legend ""Mr. James Loudon, Writer."""	4	4	4
142	Somehow Jane mounted; somehow found strength to hold the reins, to spur, to cling on, to ride. A horrible quaking, craven fear possessed her soul. Lassiter led the swift flight across the wide space, over washes, through sage, into a narrow cañon where the rapid clatter of hoofs rapped sharply from the walls.	3	4	4
